"time","lat","lng","speed","altitude"
"1557621378","42.57199","-71.65595","120.0","5055.72"
"1557621435","42.57181","-71.63304","118.0","4766.77"
"1557621496","42.57158","-71.60908","116.0","4434.84"
"1557621556","42.56992","-71.58791","105.0","4099.86"
"1557621616","42.5683","-71.56767","100.0","3795.67"
"1557621674","42.56644","-71.55273","77.0","3492.7"
"1557621734","42.56484","-71.53786","74.0","3154.68"
"1557621796","42.56255","-71.52227","76.0","2820.92"
"1557621856","42.56151","-71.51083","309.0","2520.7"
"1557621916","42.55905","-71.50219","45.0","2245.77"
"1557621976","42.5551","-71.49549","42.0","2007.72"
"1557622037","42.55331","-71.49299","17.0","1776.68"
"1557622096","42.55202","-71.49075","14.0","1558.75"
"1557622155","42.54927","-71.48975","19.0","1367.94"
"1557622214","42.547","-71.48926","16.0","1224.69"
"1557622277","42.54455","-71.48948","16.0","1094.84"
"1557622337","42.54033","-71.48836","29.0","1024.74"
"1557622393","42.53661","-71.48603","29.0","992.73"
"1557622457","42.53287","-71.48226","29.0","869.9"
"1557622512","42.53163","-71.47823","23.0","731.82"
"1557622577","42.53058","-71.47497","16.0","630.94"
"1557622635","42.52953","-71.4724","15.0","478.84"
"1557622693","42.52837","-71.47116","10.0","314.86"
