---------------------------------------------------------------------------------------------------------
time , latd , long , t_utc , time , altd , eps , epx , epv , ept , speed , climb , track , mode , satlt
date
1557451720.16, 42.29535, -71.302758333, 2019-05-10T01:28:39.000Z, 2019-05-10T01:28:39.000Z, 85.1, 73.13, 13.508, 19.55, 0.005, 0.463, 0.1, 7.18, 3, 10
1557451725.17, 42.295356667, -71.302766667, 2019-05-10T01:28:44.000Z, 1557451724.0, 85.2, 73.13, 13.508, 19.55, 0.005, 0.355, 0.0, 255.43, 3, 10
1557451730.18, 42.295348333, -71.302786667, 2019-05-10T01:28:49.000Z, 2019-05-10T01:28:49.000Z, 85.0, 73.13, 13.508, 37.72, 0.005, 0.231, -0.1, 298.32, 3, 10
1557451735.18, 42.295346667, -71.302791667, 2019-05-10T01:28:54.000Z, 1557451734.0, 85.0, 73.13, 13.508, 37.72, 0.005, 0.216, 0.0, 300.39, 3, 10
1557451740.19, 42.29536, -71.302796667, 2019-05-10T01:28:59.000Z, 2019-05-10T01:28:59.000Z, 84.2, 73.13, 13.508, 19.78, 0.005, 0.288, -0.2, 341.17, 3, 10
1557451745.19, 42.295291667, -71.302771667, 2019-05-10T01:29:04.000Z, 1557451744.0, 84.8, 73.13, 13.508, 19.55, 0.005, 0.72, -0.1, 200.63, 3, 10
1557451750.2, 42.295286667, -71.30279, 2019-05-10T01:29:09.000Z, 2019-05-10T01:29:09.000Z, 84.5, 73.13, 13.508, 19.55, 0.005, 0.108, 0.0, 56.78, 3, 10
1557451755.2, 42.295273333, -71.302766667, 2019-05-10T01:29:14.000Z, 1557451754.0, 84.5, 73.13, 13.508, 19.55, 0.005, 0.242, 0.0, 201.26, 3, 10
1557451760.21, 42.295255, -71.302733333, 2019-05-10T01:29:19.000Z, 2019-05-10T01:29:19.000Z, 84.5, 73.13, 13.508, 19.55, 0.005, 0.149, 0.0, 220.2, 3, 10
1557451765.21, 42.295246667, -71.302728333, 2019-05-10T01:29:24.000Z, 1557451764.0, 84.4, 73.13, 13.508, 19.55, 0.005, 0.329, 0.0, 190.08, 3, 10
1557451770.22, 42.295223333, -71.302668333, 2019-05-10T01:29:29.000Z, 2019-05-10T01:29:29.000Z, 84.3, 73.13, 13.508, 19.55, 0.005, 0.201, -0.1, 54.08, 3, 10
1557451775.23, 42.295198333, -71.302625, 2019-05-10T01:29:34.000Z, 1557451774.0, 83.4, 73.13, 13.508, 19.55, 0.005, 0.113, -0.2, 102.2, 3, 10
1557451780.23, 42.295181667, -71.3026, 2019-05-10T01:29:39.000Z, 2019-05-10T01:29:39.000Z, 82.9, 73.13, 13.508, 19.55, 0.005, 0.268, 0.0, 244.55, 3, 10
1557451785.24, 42.295175, -71.302593333, 2019-05-10T01:29:44.000Z, 1557451784.0, 82.6, 73.13, 13.508, 19.55, 0.005, 0.093, -0.1, 7.43, 3, 10
1557451790.24, 42.295171667, -71.302586667, 2019-05-10T01:29:49.000Z, 2019-05-10T01:29:49.000Z, 82.2, 73.13, 13.508, 19.55, 0.005, 0.237, 0.0, 173.0, 3, 10
