Chip ID     : 96
Version     : 0
Time, Temperature (C), Pressure (hPa), Humidity (%):
1557189751.83 , 23.48 , 1016.30784487 , 30.5755769356
1557189753.93 , 23.47 , 1016.30885033 , 30.6118260728
1557189756.04 , 23.48 , 1016.2535937 , 30.6014024256
1557189758.15 , 23.48 , 1016.30265344 , 30.6478258823
1557189760.26 , 23.47 , 1016.29528769 , 30.5446807471
1557189762.37 , 23.45 , 1016.26699297 , 30.6224669499
1557189764.44 , 23.47 , 1016.29947341 , 30.6169599068
1557189766.54 , 23.47 , 1016.32760387 , 30.6893612579
1557189768.64 , 23.46 , 1016.27017353 , 30.6946487883
1557189770.75 , 23.45 , 1016.26180219 , 30.5965810673
1557189772.86 , 23.45 , 1016.28892658 , 30.6895455236
1557189774.96 , 23.45 , 1016.31186511 , 30.6637531662
1557189777.07 , 23.45 , 1016.34317542 , 30.5965810673
1557189779.18 , 23.44 , 1016.30868359 , 30.6380538793
1557189781.28 , 23.43 , 1016.35455913 , 30.6019642053
1557189783.43 , 23.43 , 1016.32324945 , 30.6588046236
1557189785.53 , 23.4 , 1016.23652045 , 30.6591439665
1557189787.61 , 23.42 , 1016.2981336 , 30.7312885754
1557189789.71 , 23.43 , 1016.30131581 , 30.7518238136
1557189791.82 , 23.42 , 1016.32425311 , 30.6227465992
1557189793.93 , 23.43 , 1016.25125492 , 30.684657404
1557189796.03 , 23.44 , 1016.34518335 , 30.6225912618
1557189798.15 , 23.41 , 1016.26682489 , 30.7209907588
1557189800.25 , 23.42 , 1016.35656559 , 30.6744517265
1557189802.36 , 23.42 , 1016.30650552 , 30.6744209632
1557189804.46 , 23.4 , 1016.28657911 , 30.7521269639
1557189806.55 , 23.41 , 1016.29495106 , 30.5868144375
1557189808.66 , 23.4 , 1016.29076508 , 30.7314407228
1557189810.79 , 23.42 , 1016.36594088 , 30.7777655849
1557189812.92 , 23.41 , 1016.33982091 , 30.7262158084
1557189815.03 , 23.41 , 1016.36175465 , 30.695169996
1557189817.16 , 23.41 , 1016.32625961 , 30.6590822888
1557189819.27 , 23.4 , 1016.33245123 , 30.6592364655
1557189821.37 , 23.4 , 1016.31788743 , 30.7520966593
1557189823.48 , 23.4 , 1016.31788743 , 30.6952925349
1557189825.59 , 23.4 , 1016.31370134 , 30.7882743473
1557189827.69 , 23.39 , 1016.26564935 , 30.6541650082
1557189829.8 , 23.39 , 1016.29695707 , 30.7109373409
1557189831.91 , 23.4 , 1016.33144861 , 30.803735957
1557189834.05 , 23.4 , 1016.30951526 , 30.7573211718
1557189836.15 , 23.38 , 1016.26246628 , 30.7214174173
1557189838.23 , 23.39 , 1016.31989272 , 30.8039159797
1557189840.33 , 23.39 , 1016.23434188 , 30.8297643008
1557189842.44 , 23.39 , 1016.32826505 , 30.7522178634
1557189844.55 , 23.4 , 1016.30951526 , 30.7986321381
1557189846.65 , 23.4 , 1016.28239314 , 30.6695337181
1557189848.76 , 23.39 , 1016.34182602 , 30.79352842
1557189850.9 , 23.4 , 1016.32307633 , 30.8451063811
1557189853.01 , 23.39 , 1016.32826505 , 30.8090197506
1557189855.11 , 23.39 , 1016.30114313 , 30.8038559815
1557189857.22 , 23.39 , 1016.32826505 , 30.7109068098
1557189859.33 , 23.39 , 1016.35120071 , 30.772903381
1557189861.43 , 23.39 , 1016.31051798 , 30.7367566602
1557189863.54 , 23.38 , 1016.30733428 , 30.7988423301
1557189865.65 , 23.39 , 1016.37832256 , 30.7625757853
1557189867.79 , 23.38 , 1016.30314814 , 30.7162536932
1557189869.9 , 23.39 , 1016.32926737 , 30.7161622164
1557189872.0 , 23.37 , 1016.32189694 , 30.7782781358
1557189874.11 , 23.38 , 1016.32508116 , 30.7316840372
1557189876.22 , 23.38 , 1016.33026942 , 30.8195267013
1557189878.35 , 23.39 , 1016.36894797 , 30.6954150365
1557189880.48 , 23.38 , 1016.28439895 , 30.8711028278
1557189882.59 , 23.4 , 1016.34601225 , 30.7366958905
1557189884.73 , 23.38 , 1016.35220267 , 30.7213564942
1557189886.83 , 23.39 , 1016.30633187 , 30.8142433922
1557189888.94 , 23.4 , 1016.36375957 , 30.752157266
1557189891.05 , 23.39 , 1016.34701444 , 30.6799846071
1557189893.15 , 23.4 , 1016.33663741 , 30.7624850697
1557189895.26 , 23.39 , 1016.37832256 , 30.7832309457
1557189897.37 , 23.39 , 1016.35120071 , 30.7161012202
1557189899.47 , 23.39 , 1016.36894797 , 30.7057428931
1557189901.61 , 23.39 , 1016.32826505 , 30.6592672938
1557189903.72 , 23.39 , 1016.38769705 , 30.7109678696
1557189905.83 , 23.38 , 1016.39288496 , 30.7988123097
1557189907.93 , 23.38 , 1016.27184088 , 30.7317752415
1557189910.04 , 23.37 , 1016.33645902 , 30.7577145041
1557189912.15 , 23.36 , 1016.2967797 , 30.7164975283
1557189914.25 , 23.35 , 1016.29359498 , 30.7166193899
1557189916.33 , 23.36 , 1016.3374603 , 30.7371514348
1557189918.45 , 23.36 , 1016.35939335 , 30.819706053
1557189920.56 , 23.36 , 1016.38232748 , 30.7009764573
1557189922.66 , 23.36 , 1016.30096589 , 30.7371210815
1557189924.77 , 23.36 , 1016.35520693 , 30.84038934
1557189926.88 , 23.35 , 1016.34264771 , 30.8404786235
1557189928.99 , 23.36 , 1016.27803149 , 30.7732351761
1557189931.11 , 23.35 , 1016.31552751 , 30.7940090877
1557189933.21 , 23.36 , 1016.3687672 , 30.9230017107
1557189935.34 , 23.37 , 1016.33645902 , 30.8093493008
1557189937.44 , 23.37 , 1016.34483168 , 30.8712508424
1557189939.55 , 23.37 , 1016.3312712 , 30.9228845205
1557189941.66 , 23.37 , 1016.33545748 , 30.9331819186
1557189943.77 , 23.38 , 1016.33964376 , 30.8711916435
1557189945.88 , 23.38 , 1016.36157706 , 30.7730240665
1557189948.01 , 23.4 , 1016.39088176 , 30.8864162913
1557189950.15 , 23.41 , 1016.3763185 , 30.865672431
1557189952.28 , 23.4 , 1016.3408236 , 30.9276964048
1557189954.39 , 23.41 , 1016.38987975 , 30.9689474224
1557189956.5 , 23.41 , 1016.31269833 , 30.9430997477
1557189958.61 , 23.41 , 1016.33044572 , 30.9275791831
1557189960.71 , 23.41 , 1016.30332304 , 31.0515079787
1557189962.82 , 23.42 , 1016.31588106 , 31.0824041914
1557189964.93 , 23.42 , 1016.30231956 , 30.9326551199
1557189967.03 , 23.42 , 1016.34719021 , 30.9584452499
1557189969.16 , 23.42 , 1016.32006708 , 30.9377897304
1557189971.26 , 23.42 , 1016.26163509 , 31.1185495405
1557189973.34 , 23.44 , 1016.33999349 , 31.102803797
1557189975.44 , 23.44 , 1016.34518335 , 31.0873689573
1557189977.55 , 23.44 , 1016.3128695 , 30.8807496575
1557189979.66 , 23.45 , 1016.33898942 , 30.8806608364
1557189981.76 , 23.45 , 1016.3296132 , 30.8651381856
1557189983.87 , 23.46 , 1016.34217105 , 30.9218575123
1557189985.99 , 23.45 , 1016.34736141 , 30.9374091468
1557189988.1 , 23.46 , 1016.31504629 , 30.9476792203
1557189990.21 , 23.46 , 1016.33698049 , 31.0199213175
1557189992.32 , 23.47 , 1016.29528769 , 31.050820847
1557189994.42 , 23.47 , 1016.3130361 , 31.1075994983
1557189996.53 , 23.48 , 1016.35791017 , 31.0559278946
1557189998.64 , 23.49 , 1016.3381509 , 31.1848950907
1557190000.77 , 23.48 , 1016.28071927 , 31.0868854895
1557190002.88 , 23.49 , 1016.30164748 , 31.0970721405
1557190004.99 , 23.49 , 1016.36109104 , 31.0351553454
1557190007.1 , 23.48 , 1016.2849049 , 31.1385004187
1557190009.2 , 23.48 , 1016.36209612 , 31.0868854895
1557190011.31 , 23.49 , 1016.35589981 , 31.0815786649
1557190013.42 , 23.5 , 1016.34970257 , 31.1485759397
1557190015.53 , 23.51 , 1016.46239589 , 31.0297604284
1557190017.7 , 23.49 , 1016.30164748 , 30.9369695213
1557190019.83 , 23.5 , 1016.35489423 , 31.0350115112
1557190021.94 , 23.49 , 1016.24739523 , 31.0867431645
1557190024.01 , 23.51 , 1016.3173838 , 30.9677536076
1557190026.12 , 23.51 , 1016.29025689 , 31.0452259459
1557190028.23 , 23.52 , 1016.31219154 , 30.9625303286
1557190030.33 , 23.51 , 1016.35807419 , 31.0658849409
1557190032.44 , 23.53 , 1016.32893403 , 31.0708781744
1557190034.58 , 23.52 , 1016.34769014 , 31.070935349
1557190036.69 , 23.53 , 1016.32893403 , 30.9727436274
1557190038.79 , 23.52 , 1016.36644585 , 31.0193442818
1557190040.9 , 23.53 , 1016.32893403 , 31.0502185029
1557190043.01 , 23.53 , 1016.31468504 , 31.0449651327
1557190045.11 , 23.53 , 1016.36475511 , 31.0449938758
1557190047.22 , 23.54 , 1016.35436995 , 30.951905464
1557190049.33 , 23.55 , 1016.42537017 , 31.0241028503
1557190051.47 , 23.55 , 1016.32204863 , 31.0086649365
1557190053.57 , 23.54 , 1016.33142728 , 30.9312149598
1557190055.68 , 23.54 , 1016.31887059 , 30.9571292208
1557190057.75 , 23.55 , 1016.34398403 , 31.0292681158
1557190059.86 , 23.55 , 1016.33561285 , 31.034491008
1557190061.97 , 23.55 , 1016.28972671 , 30.9724497679
1557190064.07 , 23.56 , 1016.29809746 , 31.0085490685
1557190066.18 , 23.54 , 1016.35436995 , 30.915748452
