


Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1557189460.108686, 89.77792521026777, -89.27293369159818, -40.80782678000001, -27.04603881, -21.922547640000005, 89.26169460883312, -89.3155034949028, 299.69665253769904, 57.56802958371559, 89.41470863365026, -89.1044577103862)
(1557189461.184814, 89.64413093120233, -88.83383321914289, -41.62705428000001, -27.54387706, -22.363670140000004, 89.16346540225464, -89.22563662944685, 300.8663785197188, 58.142657599711036, 89.3897612306905, -89.08127202259588)
(1557189462.274995, 90.13273206408773, -90.42970876335585, -42.31814804000001, -27.98120983, -22.720015360000005, 89.46858789535449, -90.12301301779225, 299.52763208745813, 56.99680248936125, 89.61433995048775, -89.76453457661572)
(1557189463.352185, 89.68788676265116, -88.99742465802274, -43.38389013000001, -28.61058508, -23.231907230000004, 89.17387037973249, -89.69941010193054, 301.0301137299969, 56.75360610500314, 89.51948796457563, -89.50238128742058)
(1557189464.472337, 89.28315160708024, -88.17053411990827, -44.172464280000014, -29.07192778, -22.223390630000004, 88.92400945614114, -88.96662159271719, 299.7076969468325, 59.690978223421205, 89.26651693297802, -89.00249812923965)
(1557189465.548897, 89.202431217204, -87.36420203827618, -44.839556160000015, -29.500772559999998, -22.593997230000003, 88.82422576077886, -88.17670777205258, 299.82557952458535, 57.04641135469403, 89.15334185484241, -88.35966901625252)
(1557189466.624541, 89.8877296218018, -89.61546880745064, -45.23807428000001, -29.91544682, -22.67477793, 89.30292082939262, -89.20583409729142, 298.7373642080374, 59.31347308087246, 89.54550947520764, -88.95914599941204)
(1557189467.701647, 89.77895332760967, -89.23610000288116, -46.03186168000001, -30.33952502, -23.028176430000002, 89.27102536832285, -89.39362492064527, 300.03558617075504, 59.237777558216955, 89.50419003657805, -89.14462386731567)
(1557189468.779676, 89.6883717787228, -88.97957085208992, -46.74088384000001, -30.76923542, -23.37731613, 89.23782435056282, -89.31707663951207, 299.8680287504095, 59.42646539591859, 89.48895651230433, -89.14413063827739)
(1557189469.856253, 81.24522770064843, -60.54257683236062, -48.17484546000001, -31.57530852, -25.26098169, 83.86868171261418, -72.37480599522121, 299.4284221492036, 49.192899343679166, 85.15376210279882, -75.27888820162889)
(1557189470.977755, 89.6883717787228, -89.00734913527876, -49.47857880000001, -32.41103502, -25.92956289, 86.83900241627936, -82.68862247925574, 300.29686733288514, 59.31676322280335, 87.4329433322022, -82.42917397638398)
(1557189472.137072, 80.54980841800831, -59.678238826272434, -51.48425142000001, -33.45693792, -26.69245677, 82.26321696931673, -69.30075344746575, 299.05460409907715, 48.67064332989083, 83.14679102613067, -69.4020951811269)
(1557189473.312977, 89.82275220422086, -89.41536794462945, -52.14104805000001, -33.88412272, -27.07692309, 86.53621945825921, -81.54039606576397, 300.23778214589686, 57.129793834686936, 86.20662388923029, -78.72924790993045)
(1557189474.389204, 89.6430223310825, -88.84557979911094, -52.83068091000001, -34.31310694, -27.44074515, 88.12444803795319, -86.09509999377215, 300.3918442752023, 56.6087738828486, 87.68082216722429, -83.25917362068346)
(1557189475.466761, 89.38723503737702, -87.8900556042388, -53.46797211000001, -34.743278499999995, -27.854984430000002, 88.62720375760748, -87.34414198405214, 300.7706921685142, 57.739894119768536, 88.41190686796774, -85.36906546244442)
(1557189476.542313, 89.55620034551848, -88.53495262776002, -54.146821050000014, -35.163518319999994, -28.194408900000003, 88.91306213435408, -88.22672429827688, 300.185568529124, 56.078729703215906, 88.89118133822483, -86.86242803609476)
(1557189477.620001, 101.26705369922367, -122.81538950403706, -54.820354330000015, -35.57089731999999, -28.54203898, 96.05604376127583, -109.14287502173298, 299.7074715031172, 46.837810256015786, 94.31070673800824, -102.74722152644306)
(1557189478.697856, 89.59871392562485, -88.69804578665972, -55.481636770000016, -36.000999719999996, -28.896873460000002, 91.91713288388524, -97.04801844068902, 300.17176829369305, 60.241625053259966, 92.36489959473042, -97.08055991255902)
(1557189479.77457, 89.82150981577803, -89.40473905674588, -56.145691630000016, -36.45989942, -29.263993220000003, 90.39413709902092, -92.64561069032314, 300.21274520004005, 59.736980934203984, 91.32301866478164, -94.08227696326824)
(1557189480.851754, 89.64523266718912, -88.82786983940679, -56.81762163000002, -36.8738083, -29.63489858, 89.67602243992184, -90.52052973177332, 300.393262645553, 56.124158328423846, 90.63038109568863, -92.04603279191944)
(1557189481.928901, 89.73371710499129, -89.11859446623043, -57.48952307000002, -37.32354878, -29.97626786, 89.44187866296352, -89.85926476444759, 300.3257452701147, 59.64776237741634, 90.26584997215107, -90.99288085914898)
(1557189483.006309, 89.7768874844976, -89.28383851874642, -58.144575930000016, -37.76205524, -30.32815576, 89.38086281188397, -89.68941160102689, 300.6618848283882, 59.80988230571579, 90.08024156389045, -90.43648224555041)
(1557189484.08374, 89.6907744226031, -88.99742465802274, -58.794055530000016, -38.186095640000005, -30.677049760000003, 89.30701793831545, -89.44383559522439, 299.6638406444608, 59.53428228996997, 89.93365919773925, -89.97452363096339)
(1557189485.160484, 89.77758037591181, -89.27842730075528, -59.496855390000015, -38.654628880000004, -31.059875700000003, 89.30823545687326, -89.53200391454291, 299.49381991320246, 58.76065580926075, 89.87872361748647, -89.83444866805236)
(1557189486.242179, 89.6876436880246, -88.97696827294112, -60.16747289000001, -39.094553960000006, -31.41396174, 89.26763339556406, -89.37495256158184, 300.25643716352926, 58.426043296384535, 89.80090253284168, -89.60976039510403)
(1557189487.318995, 89.7768874844976, -89.27293369159818, -60.865394170000016, -39.51439723000001, -31.75201736, 89.29401733692418, -89.48167854759166, 300.55060844526054, 57.34630612706154, 89.78530689358249, -89.59014926791447)
(1557189488.397072, 89.4674449478267, -88.26866325424618, -61.55651481000002, -39.924750110000005, -32.11377582, 89.12162564746569, -88.91801052358437, 299.53628107961805, 60.283419334973466, 89.64138206571377, -89.13221202106456)
(1557189489.474142, 89.77758037591181, -89.27842730075528, -62.25618630000002, -40.36407872, -32.47717109, 89.23532988853336, -89.30999203388691, 299.8583167450143, 57.73990852870542, 89.68997252353728, -89.31769397866356)
(1557189490.551894, 89.55482106786332, -88.55708494621732, -62.90709250000002, -40.79072312, -32.83270809, 89.16666211613133, -89.02890554128516, 301.01519559181907, 54.422157066453615, 89.65196640289163, -89.09747206086797)
