     Time    , ADC Output
1556903084.81, 1
1556903086.81, 1
1556903088.81, 0
1556903090.82, 0
1556903092.82, 0
1556903094.82, 0
1556903096.82, 1
1556903098.83, 1
1556903100.83, 0
1556903102.83, 0
1556903104.84, 1
1556903106.84, 1
1556903108.84, 1
1556903110.84, 0
1556903112.85, 1
1556903114.85, 1
1556903116.85, 0
1556903118.85, 1
1556903120.86, 0
1556903122.86, 0
1556903124.86, 1
1556903126.87, 1
1556903128.87, 0
1556903130.87, 1
1556903132.87, 1
1556903134.88, 1
1556903136.88, 1
1556903138.88, 1
1556903140.89, 1
1556903142.89, 0
1556903144.89, 0
1556903146.89, 0
1556903148.9, 1
1556903150.9, 1
1556903152.9, 1
1556903154.91, 0
1556903156.91, 1
1556903158.91, 1
1556903160.91, 1
1556903162.92, 1
1556903164.92, 1
1556903166.92, 0
1556903168.92, 1
1556903170.93, 0
1556903172.93, 0
1556903174.93, 0
1556903176.94, 0
1556903178.94, 0
1556903180.94, 1
1556903182.94, 1
1556903184.95, 0
1556903186.95, 0
1556903188.95, 1
1556903190.96, 1
1556903192.96, 1
1556903194.96, 0
1556903196.96, 1
1556903198.96, 1
1556903200.97, 0
1556903202.97, 0
1556903204.97, 0
1557186995.48, 1
1557186997.48, 1
1557186999.49, 0
1557187001.49, 0
1557187003.49, 0
1557187005.5, 1
1557187007.5, 0
1557187009.5, 0
1557187011.5, 1
1557187013.51, 1
1557187015.51, 0
1557187017.51, 0
1557187019.51, 0
1557187021.52, 0
1557187023.52, 0
1557187025.52, 0
1557187027.53, 1
1557187029.53, 1
1557187031.53, 1
1557187033.53, 0
1557187035.54, 1
1557187037.54, 0
1557187039.54, 0
1557187041.55, 1
1557187043.55, 1
1557187045.55, 1
1557187047.55, 1
1557187049.56, 0
1557187051.56, 1
1557187053.56, 0
1557187055.57, 1
1557187057.57, 0
1557187059.57, 0
1557187061.57, 1
1557187063.58, 1
1557187065.58, 1
1557187067.58, 0
1557187069.59, 0
1557187071.59, 1
1557187073.59, 1
1557187075.59, 1
1557187077.6, 1
1557187079.6, 0
1557187081.6, 1
1557187083.61, 0
1557187085.61, 0
1557187087.61, 1
1557187089.61, 1
1557187091.61, 1
1557187093.62, 1
1557187095.62, 1
1557187097.62, 1
1557187099.63, 0
1557187101.63, 0
1557187103.63, 1
1557187105.63, 0
1557187107.64, 1
1557187109.64, 1
1557187111.64, 1
1557187113.65, 1
1557187115.65, 1
1557187117.65, 0
1557187119.65, 0
1557187121.66, 1
1557187123.66, 1
1557187125.66, 0
1557187127.67, 0
1557187129.67, 1
1557187131.67, 0
1557187133.67, 0
1557187135.68, 1
1557187137.68, 1
1557187139.68, 1
1557187141.69, 1
1557187143.69, 0
1557187145.69, 1
1557187147.69, 1
1557187149.7, 1
1557187151.7, 1
1557187153.7, 1
1557187155.71, 0
1557187157.71, 1
1557187159.71, 0
1557187161.71, 1
1557187163.71, 1
1557187165.72, 1
1557187167.72, 0
1557187169.72, 0
1557187171.73, 1
1557187173.73, 1
1557187175.73, 1
1557187177.73, 1
1557187179.74, 0
1557187181.74, 0
1557187183.74, 1
1557187185.75, 1
1557187187.75, 0
1557187189.75, 1
1557187191.75, 1
1557187193.76, 1
1557187195.76, 1
1557187197.76, 1
1557187199.76, 1
1557187201.77, 1
1557187203.77, 1
1557187205.77, 0
1557187207.78, 1
1557187209.78, 1
1557187211.78, 1
1557187213.78, 1
1557187215.79, 1
1557187217.79, 1
1557187219.79, 1
1557187221.8, 1
1557187223.8, 1
1557187225.8, 0
1557187227.8, 0
1557187229.81, 0
1557187231.81, 1
1557187233.81, 1
1557187235.82, 1
1557187237.82, 0
1557187239.82, 0
1557187241.82, 1
1557187243.83, 1
1557187245.83, 1
1557187247.83, 1
1557187249.84, 0
1557187251.84, 0
1557187253.84, 1
1557187255.84, 1
1557187257.85, 0
1557187259.85, 1
1557187261.85, 0
1557187263.85, 1
1557187265.86, 1
1557187267.86, 0
1557187269.86, 1
1557187271.87, 1
1557187273.87, 1
1557187275.87, 0
1557187277.87, 1
1557187279.88, 1
1557187281.88, 0
1557187283.88, 1
1557187285.89, 1
1557187287.89, 0
1557187289.89, 0
1557187291.89, 1
1557187293.9, 1
1557187295.9, 0
1557187297.9, 1
1557187299.91, 1
1557187301.91, 1
1557187303.91, 1
1557187305.91, 1
1557187307.92, 1
1557187309.92, 1
1557187311.92, 0
1557187313.93, 1
1557187315.93, 0
1557187317.93, 0
1557187319.93, 1
1557187321.94, 1
1557187323.94, 0
1557187325.94, 0
1557187327.95, 1
1557187329.95, 1
1557187331.95, 0
1557187333.95, 1
1557187335.96, 1
1557187337.96, 1
1557187339.96, 0
1557187341.96, 0
1557187343.97, 0
1557187345.97, 1
1557187347.97, 0
1557187349.98, 0
1557187351.98, 1
1557187353.98, 1
1557187355.98, 1
1557187357.99, 0
1557187359.99, 1
1557187361.99, 1
1557187364.0, 0
1557187366.0, 0
1557187368.0, 0
1557187370.0, 0
1557187372.01, 0
1557187374.01, 1
1557187376.01, 1
1557187378.02, 1
1557187380.02, 1
1557187382.02, 1
1557187384.02, 1
1557187386.03, 1
1557187388.03, 0
1557187390.03, 1
1557187392.04, 1
1557187394.04, 0
1557187396.04, 1
1557187398.04, 0
1557187400.05, 1
1557187402.05, 0
1557187404.05, 1
1557187406.05, 0
1557187408.06, 1
1557187410.06, 1
1557187412.06, 1
1557187414.07, 1
1557187416.07, 1
1557187418.07, 0
1557187420.07, 0
1557187422.08, 1
1557187424.08, 1
1557187426.08, 1
1557187428.09, 1
1557187430.09, 0
1557187432.09, 0
1557187434.09, 0
1557187436.1, 1
1557187438.1, 1
1557187440.1, 1
1557187442.1, 1
1557187444.11, 1
1557187446.11, 1
1557187448.11, 0
1557187450.12, 0
1557187452.12, 1
1557187454.12, 0
1557187456.12, 1
1557187458.13, 1
1557187460.13, 1
1557187462.13, 0
1557187464.13, 0
1557187466.14, 0
1557187468.14, 0
1557187470.14, 1
1557187472.15, 1
1557187474.15, 0
1557187476.15, 1
1557187478.15, 1
1557187480.16, 0
1557187482.16, 1
1557187484.16, 1
1557187486.17, 0
1557187488.17, 0
1557187490.17, 1
1557187492.17, 1
1557187494.18, 1
1557187496.18, 1
1557187498.18, 1
1557187500.19, 0
1557187502.19, 1
1557187504.19, 1
1557187506.19, 0
1557187508.2, 1
1557187510.2, 0
1557187512.2, 0
1557187514.21, 1
1557187516.21, 1
1557187518.21, 0
1557187520.21, 0
1557187522.22, 1
1557187524.22, 1
1557187526.22, 0
1557187528.23, 0
1557187530.23, 1
1557187532.23, 1
1557187534.23, 1
1557187536.24, 1
1557187538.24, 1
1557187540.24, 1
1557187542.25, 1
1557187544.25, 1
1557187546.25, 0
1557187548.25, 0
1557187550.25, 0
1557187552.26, 1
1557187554.26, 0
1557187556.26, 1
1557187558.27, 0
1557187560.27, 0
1557187562.27, 1
1557187564.27, 1
1557187566.28, 1
1557187568.28, 0
1557187570.28, 0
1557187572.29, 1
1557187574.29, 1
1557187576.29, 0
1557187578.29, 1
1557187580.3, 1
1557187582.3, 0
1557187584.3, 1
1557187586.3, 0
1557187588.31, 1
1557187590.31, 1
1557187592.31, 0
1557187594.32, 1
1557187596.32, 1
1557187598.32, 1
1557187600.32, 0
1557187602.33, 0
1557187604.33, 0
1557187606.33, 1
1557187608.34, 0
1557187610.34, 1
1557187612.34, 1
1557187614.34, 1
1557187616.35, 0
1557187618.35, 0
1557187620.35, 1
1557187622.36, 1
1557187624.36, 0
1557187626.36, 0
1557187628.36, 1
1557187630.37, 0
1557187632.37, 1
1557187634.37, 1
1557187636.38, 1
1557187638.38, 0
1557187640.38, 1
1557187642.38, 1
1557187644.39, 0
1557187646.39, 0
1557187648.39, 0
1557187650.4, 1
1557187652.4, 1
1557187654.4, 0
1557187656.4, 0
1557187658.4, 0
1557187660.41, 1
1557187662.41, 0
1557187664.41, 0
1557187666.42, 1
1557187668.42, 1
1557187670.42, 1
1557187672.42, 1
1557187674.43, 0
1557187676.43, 0
1557187678.43, 1
1557187680.44, 0
1557187682.44, 1
1557187684.44, 0
1557187686.44, 0
1557187688.45, 1
1557187690.45, 1
1557187692.45, 1
1557187694.46, 0
1557187696.46, 0
1557187698.46, 1
1557187700.46, 0
1557187702.47, 0
1557187704.47, 0
1557187706.47, 0
1557187708.48, 1
1557187710.48, 0
1557187712.48, 1
1557187714.48, 1
1557187716.49, 0
1557187718.49, 1
1557187720.49, 1
1557187722.5, 0
1557187724.5, 1
1557187726.5, 1
1557187728.5, 0
1557187730.51, 1
1557187732.51, 1
1557187734.51, 1
1557187736.51, 1
1557187738.52, 0
1557187740.52, 1
1557187742.52, 1
1557187744.53, 1
1557187746.53, 0
1557187748.53, 1
1557187750.53, 1
1557187752.54, 1
1557187754.54, 1
1557187756.54, 0
1557187758.55, 1
1557187760.55, 0
1557187762.55, 0
1557187764.55, 1
1557187766.56, 0
1557187768.56, 1
1557187770.56, 1
1557187772.57, 1
1557187774.57, 1
1557187776.57, 1
1557187778.57, 0
1557187780.58, 1
1557187782.58, 1
1557187784.58, 1
1557187786.59, 0
1557187788.59, 1
1557187790.59, 0
1557187792.59, 0
1557187794.6, 1
1557187796.6, 1
1557187798.6, 1
1557187800.6, 0
1557187802.61, 1
1557187804.61, 1
1557187806.61, 0
1557187808.62, 0
1557187810.62, 1
1557187812.62, 0
1557187814.62, 1
1557187816.63, 0
1557187818.63, 0
1557187820.63, 1
1557187822.64, 1
1557187824.64, 1
1557187826.64, 0
1557187828.64, 0
1557187830.65, 0
1557187832.65, 0
1557187834.65, 1
1557187836.66, 1
1557187838.66, 1
1557187840.66, 1
1557187842.66, 0
1557187844.67, 1
1557187846.67, 0
1557187848.67, 1
1557187850.68, 1
1557187852.68, 0
1557187854.68, 1
1557187856.68, 1
1557187858.69, 0
1557187860.69, 0
1557187862.69, 0
1557187864.7, 1
1557187866.7, 0
1557187868.7, 1
1557187870.7, 0
1557187872.71, 0
1557187874.71, 0
1557187876.71, 0
1557187878.71, 1
1557187880.72, 0
1557187882.72, 1
1557187884.72, 0
1557187886.73, 0
1557187888.73, 1
1557187890.73, 1
1557187892.73, 0
1557187894.74, 1
1557187896.74, 0
1557187898.74, 0
1557187900.74, 1
1557187902.75, 1
1557187904.75, 1
1557187906.75, 0
1557187908.76, 0
1557187910.76, 1
1557187912.76, 1
1557187914.76, 1
1557187916.77, 0
1557187918.77, 1
1557187920.77, 0
1557187922.78, 1
1557187924.78, 0
1557187926.78, 0
1557187928.78, 0
1557187930.79, 0
1557187932.79, 0
1557187934.79, 0
1557187936.8, 1
1557187938.8, 0
1557187940.8, 0
1557187942.8, 0
1557187944.81, 1
1557187946.81, 1
1557187948.81, 1
1557187950.82, 1
1557187952.82, 0
1557187954.82, 0
1557187956.82, 1
1557187958.83, 1
1557187960.83, 1
1557187962.83, 0
1557187964.84, 1
1557187966.84, 1
1557187968.84, 1
1557187970.84, 1
1557187972.85, 0
1557187974.85, 1
1557187976.85, 0
1557187978.85, 0
1557187980.86, 1
1557187982.86, 1
1557187984.86, 1
1557187986.87, 1
1557187988.87, 0
1557187990.87, 1
1557187992.87, 1
1557187994.88, 1
1557187996.88, 0
1557187998.88, 0
1557188000.89, 1
1557188002.89, 0
1557188004.89, 1
1557188006.89, 1
1557188008.9, 1
1557188010.9, 1
1557188012.9, 0
1557188014.91, 0
1557188016.91, 0
1557188018.91, 0
1557188020.91, 0
1557188022.92, 1
1557188024.92, 1
1557188026.92, 1
1557188028.92, 0
1557188030.93, 1
1557188032.93, 1
1557188034.93, 1
1557188036.94, 0
1557188038.94, 1
1557188040.94, 0
1557188042.94, 1
1557188044.95, 0
1557188046.95, 0
1557188048.95, 1
1557188050.96, 1
1557188052.96, 1
1557188054.96, 1
1557188056.96, 0
1557188058.97, 0
1557188060.97, 1
1557188062.97, 1
1557188064.98, 1
1557188066.98, 1
1557188068.98, 1
1557188070.98, 1
1557188072.99, 1
1557188074.99, 0
1557188076.99, 1
1557188079.0, 0
1557188081.0, 1
1557188083.0, 1
1557188085.0, 1
1557188087.0, 0
1557188089.01, 1
1557188091.01, 1
1557188093.01, 1
1557188095.02, 1
1557188097.02, 1
1557188099.02, 1
1557188101.02, 1
1557188103.03, 1
1557188105.03, 0
1557188107.03, 0
1557188109.04, 1
1557188111.04, 0
1557188113.04, 0
1557188115.04, 0
1557188117.05, 0
1557188119.05, 0
1557188121.05, 1
1557188123.05, 1
1557188125.06, 0
1557188127.06, 0
1557188129.06, 1
1557188131.07, 1
1557188133.07, 1
1557188135.07, 0
1557188137.07, 0
1557188139.08, 0
1557188141.08, 0
1557188143.08, 0
1557188145.08, 0
1557188147.09, 0
1557188149.09, 1
1557188151.09, 0
1557188153.1, 1
1557188155.1, 1
1557188157.1, 1
1557188159.1, 1
1557188161.11, 0
1557188163.11, 0
1557188165.11, 0
1557188167.12, 1
1557188169.12, 1
1557188171.12, 0
1557188173.12, 0
1557188175.13, 1
1557188177.13, 1
1557188179.13, 1
1557188181.14, 0
1557188183.14, 0
1557188185.14, 0
1557188187.14, 1
1557188189.15, 0
1557188191.15, 1
1557188193.15, 0
1557188195.15, 1
1557188197.16, 0
1557188199.16, 0
1557188201.16, 0
1557188203.17, 0
1557188205.17, 0
1557188207.17, 1
1557188209.17, 1
1557188211.18, 1
1557188213.18, 1
1557188215.18, 1
1557188217.19, 1
